nombre,poblacion,superficie,continente
Argentina,46202000,2780500,America
Brasil,216400000,8515767,America
Chile,19700000,756102,America
Uruguay,3500000,176215,America
Paraguay,6800000,406752,America
Estados Unidos,342000000,9833517,America
Canada,42000000,9984670,America
Mexico,131000000,1964375,America
Espana,49000000,505990,Europa
Francia,68500000,551695,Europa
Alemania,84500000,357022,Europa
Italia,58900000,301340,Europa
Reino Unido,69500000,243610,Europa
Portugal,10600000,92212,Europa
China,1410000000,9596961,Asia
India,1430000000,3287263,Asia
Japon,123000000,377975,Asia
Corea Del Sur,52000000,100210,Asia
Indonesia,282000000,1904569,Asia
Australia,27000000,7692024,Oceania
Nueva Zelanda,5300000,268021,Oceania
Egipto,114000000,1002450,Africa
Nigeria,232000000,923768,Africa
Sudafrica,1200000,316544,Africa
Argelia,12000002,154200,Africa
Angola,152000,56325,Africa
Guyana,625000,25000,America
Costa Rica,1520333,65852,America
